country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number)
Trinidad and Tobago,151.56573161387035
Tropical Latin America,28437.947923945096
Tunisia,759.7524478252491
Turkey,4187.934545917272
Turkmenistan,1525.6195649482531
USSR,
Uganda,3879.6966939029694
Ukraine,16634.277315423715
United Arab Emirates,158.5640316098165
United Kingdom,7453.678128302132
United States,45359.83142897854
United States Virgin Islands,25.659556984612465
Uruguay,505.2086411676213
Uzbekistan,8149.825836420709
Vanuatu,44.03043040221114
Venezuela,2623.9969192648364
Vietnam,16402.90208746544
Wales,404.12718902386797
Wallis and Futuna,
West Germany (FRG),
Western Europe,77012.49193974969
Western Sahara,
Western Sub-Saharan Africa,66113.01467871433
World,1104426.8271571842
World (excluding China),
Yemen,1378.6482582497758
Yugoslavia,
Zaire,
Zambia,2571.3811969793715
Zimbabwe,1525.1807903292695
