,country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961
10,Italy,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.7,1.8,1.8,1.7,1.7,1.8,1.6,1.7,1.6,1.6,1.6,1.5,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.3,1.4,1.4,1.4,1.4,1.2,1.3,1.3,1.1,1.1,1.1,1.0,0.9,0.9,0.8,1.0,1.0,0.8,0.7,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.4
11,Luxembourg,4.0,4.0,4.0,4.0,4.1,3.8,4.1,4.0,4.2,4.3,4.3,4.4,4.6,4.5,4.3,4.4,4.5,4.5,4.7,5.0,4.7,4.8,4.9,5.0,5.0,5.0,5.4,5.3,5.6,5.5,5.5,5.5,5.6,5.6,5.6,5.9,5.9,5.9,5.9,5.9,6.0,6.2,6.3,6.2,6.2,6.2,6.0,6.1,6.0,5.8,5.5,5.5,5.4,5.3,5.3,4.9,4.3,4.5
12,Malta,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.2,1.8,1.9,1.9,2.7,2.8,2.9,2.7,2.6,2.7,2.9,2.9,3.0,3.0,3.0,3.0,3.1,3.1,3.1,2.4,1.8,2.0,2.0,1.8,2.1,2.3,2.0,1.9,1.8,1.9,1.9,1.9,1.6,1.7,1.5,1.6,1.5,1.5,1.3,1.4,1.1,1.2,0.9,1.1,0.9,0.9
13,Netherlands,4.0,4.0,4.0,4.0,4.1,4.2,4.4,4.3,4.4,4.4,4.8,4.7,4.9,4.8,4.9,4.9,4.9,4.9,5.1,5.1,5.0,5.2,5.0,5.0,5.0,4.9,5.1,5.1,5.2,5.2,5.1,5.2,5.3,5.2,5.2,5.5,5.2,5.7,5.6,5.5,5.5,5.5,5.6,5.3,5.1,5.0,4.5,4.3,4.0,3.6,3.1,3.1,2.7,2.6,2.5,2.2,2.0,1.9
14,Norway,2.7,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.9,3.0,3.1,3.0,3.0,3.0,3.0,2.8,2.9,2.8,2.9,2.8,3.2,3.0,2.9,2.8,2.8,2.7,2.8,2.9,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.7,2.6,2.8,3.0,3.0,3.0,2.9,3.0,2.9,2.8,2.7,2.6,2.4,2.3,2.1,2.0,1.9,1.9,1.8,1.8,1.7,1.8
15,Poland,5.9,5.8,5.8,5.8,5.8,5.7,5.8,5.6,5.3,5.4,5.6,5.5,5.2,4.8,4.7,4.5,4.3,4.1,4.1,3.7,3.4,3.2,2.7,2.5,2.4,2.2,2.5,2.5,2.0,2.0,2.0,1.9,1.9,1.7,1.8,1.8,1.8,1.9,2.0,2.0,2.2,2.3,2.4,2.4,2.5,2.4,2.4,2.3,2.2,2.1,2.0,2.0,1.8,1.7,1.8,1.7,1.6,1.8
16,Portugal,2.6,2.6,2.6,2.6,2.5,2.6,2.6,2.8,3.0,3.0,3.1,3.2,3.2,3.3,3.3,3.2,3.2,3.3,3.5,3.9,3.8,3.9,3.9,3.9,4.0,3.9,3.9,4.1,4.1,4.2,4.0,3.4,3.0,2.5,2.5,2.3,2.5,2.5,2.9,2.6,2.6,2.7,2.2,2.1,2.4,2.3,2.0,1.2,1.0,1.0,0.7,0.7,0.6,0.5,0.4,0.4,0.3,0.3
17,Romania,5.3,5.3,5.3,5.2,4.9,5.1,5.3,5.0,4.8,5.2,5.7,5.6,4.6,4.1,4.3,3.6,3.4,3.3,3.4,3.1,2.8,2.1,2.2,2.5,2.6,2.8,2.8,2.7,2.9,3.3,3.4,0.4,3.2,3.0,2.9,3.0,3.0,3.1,3.0,3.0,2.5,2.3,2.3,2.3,2.1,1.8,1.6,1.6,1.5,1.3,1.2,1.2,1.1,1.0,0.9,0.9,0.8,0.8
18,Slovakia,3.4,3.4,3.2,3.4,3.3,3.4,3.7,3.5,3.4,3.9,3.8,3.9,3.8,3.9,4.0,4.4,4.5,4.3,4.5,5.4,5.4,5.9,5.8,5.7,6.1,5.9,6.1,6.1,6.4,6.3,6.5,6.5,6.9,6.7,7.6,8.1,8.0,7.7,7.8,6.9,6.1,7.6,7.1,7.7,7.5,7.9,8.1,8.3,7.2,6.9,6.7,6.5,6.9,6.8,6.4,6.0,5.7,5.5
19,Sweden,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.8,2.8,2.6,2.7,3.6,3.5,3.8,3.6,4.0,4.2,3.9,3.8,3.7,3.7,3.5,3.4,3.1,3.0,2.9,2.7,2.8,2.9,2.8,2.9,3.0,3.1,3.4,3.7,3.8,3.7,3.6,3.6,3.6,3.6,3.7,3.3,2.9,2.7,2.6,2.5,2.5,2.3,2.4
20,Turkey,0.8,0.8,0.8,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.8,0.9,1.0,0.8,0.8,0.8,0.7,0.6,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.5,0.6,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
21,United Kingdom,3.6,3.4,3.4,3.4,3.4,3.3,3.4,3.6,3.7,3.8,4.2,4.4,4.7,4.8,5.1,5.2,5.1,5.1,5.0,5.3,5.4,5.3,5.3,5.2,5.1,5.2,5.5,5.6,5.6,5.7,5.7,5.5,6.7,6.8,6.8,6.9,6.9,7.1,7.5,7.8,7.8,7.7,7.8,7.7,7.6,7.5,7.1,7.0,6.8,6.6,6.3,6.2,6.1,6.0,6.0,5.8,5.8,5.8
