,Unnamed: 0,Latest dataavailable,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
40,San Marino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Serbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Slovakia,1377,-,1377,1461,1330,1244,1125,1107,1032,1202,1151,1170,1342,1305,1236,1278,1368,1463,1603,2925,3124,2356,2250,2208,2149,2190,-,-,-,-,2282
43,Slovenia,1764,-,-,-,-,-,1764,1778,1550,1539,1531,1296,1259,1764,1576,-,-,-,757,687,569,720,728,775,690,656,754,739,1072,-,581
44,Spain,4124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4124,3739,3344,3456,3544,3306,-,-,-,-,2277,2006,1286
45,Sweden,1056,-,-,-,-,-,1056,1143,1012,970,852,787,772,749,-,773,703,971,1038,1170,1315,1584,1296,-,1244,1047,-,-,-,-,1233
46,Switzerland,2134,-,2134,2178,2264,2050,2271,2427,2506,2454,2493,2469,2358,2172,2147,2303,2547,2504,2322,2762,2644,2722,2845,-,-,-,-,-,-,-,-
47,Tajikistan,20,-,-,-,-,-,-,-,-,20,24,-,-,-,-,60,76,-,125,148,-,-,-,-,-,-,-,-,-,-,-
48,Turkey,3256,-,-,3256,2832,1294,-,18847,12491,2429,2839,1613,-,-,-,-,-,-,12843,12178,11555,11008,12342,13921,11809,3179,-,-,-,-,-
49,Turkmenistan,80,-,-,-,-,-,-,-,-,-,-,80,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,Ukraine,2911,2911,3518,6385,3337,3020,2989,2984,2865,3146,3347,3915,4430,5022,5748,5358,5607,6091,6773,7702,8307,7681,-,-,-,-,-,-,-,-,-
51,United Kingdom,11220,-,-,-,-,-,11220,12400,13150,12270,11800,11050,10100,10710,10870,10180,9900,9480,10790,11690,13210,14390,14520,15560,16940,17260,17320,17130,18800,17040,18570
52,Uzbekistan,540,-,-,-,-,-,-,-,-,-,-,-,-,540,699,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,WHO European Region,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,Members of the European Union,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,Members of the EU before May 2004 (EU15),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,Members of the EU after May 2004 (EU13),29709,-,-,-,-,-,-,-,-,-,-,-,-,29709,25799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,Commonwealth of Independent States,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,Central Asian Republics Information Network members (CARINFONET),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,South-eastern Europe Health Network members (SEEHN),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,Nordic countries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,Small countries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
