country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number)
Tropical Latin America,7809.295657588019
Tunisia,23.86282287645817
Turkey,228.8029519186159
Turkmenistan,177.02901180509917
USSR,
Uganda,224.29354983511493
Ukraine,10664.066216204334
United Arab Emirates,38.45021208445878
United Kingdom,1591.5783010842115
United States,9759.480872488728
United States Virgin Islands,10.141484296655785
Uruguay,85.39580983383522
Uzbekistan,551.1431085417296
Vanuatu,2.212519051403492
Venezuela,209.34446370169562
Vietnam,661.5505004193863
Wales,84.95377580344223
Wallis and Futuna,
West Germany (FRG),
Western Europe,15519.945656823955
Western Sahara,
Western Sub-Saharan Africa,2940.730941981668
World,167016.74062263433
World (excluding China),
Yemen,54.64035376017869
Yugoslavia,
Zaire,
Zambia,137.3439118005838
Zimbabwe,69.19423815397106
