,Unnamed: 0.1,Spirit mean
0,Albania,1.1534482758620688
1,Andorra,2.5599999999999996
2,Armenia,2.6466666666666674
3,Austria,1.8099999999999994
4,Azerbaijan,1.2899999999999998
5,Belarus,5.640624999999999
6,Belgium,1.8614035087719294
7,Bosnia and Herzegovina,3.2433333333333327
8,Bulgaria,4.003508771929825
9,Croatia,2.1
10,Cyprus,3.489830508474575
11,Czechia,3.6305084745762723
12,Denmark,1.7915254237288134
13,Estonia,6.11
14,Finland,1.7491525423728822
15,France,3.059322033898305
16,Georgia,2.126666666666667
17,Germany,3.0983050847457636
18,Greece,3.1631578947368424
19,Hungary,4.501694915254238
20,Iceland,2.679661016949153
21,Ireland,2.6666666666666665
22,Israel,1.5271186440677968
23,Italy,1.8542372881355935
24,Kazakhstan,4.579999999999999
25,Kyrgyzstan,4.525714285714288
26,Latvia,5.432500000000001
27,Lithuania,4.966666666666667
28,Luxembourg,3.279661016949152
29,Malta,2.261016949152542
30,Monaco,30.0
31,Montenegro,4.6
32,Netherlands,2.87457627118644
33,North Macedonia,2.62142857142857
34,Norway,2.0830508474576264
35,Poland,5.02542372881356
36,Portugal,1.5644067796610175
37,Republic of Moldova,5.882142857142858
38,Romania,3.035593220338982
39,Russian Federation,5.699999999999999
40,San Marino,40.0
41,Serbia,4.299999999999998
42,Slovakia,4.625423728813559
43,Slovenia,2.9769230769230766
44,Spain,3.956896551724136
45,Sweden,2.9661016949152543
46,Switzerland,2.9981481481481493
47,Tajikistan,2.178571428571428
48,Turkey,1.2491525423728809
49,Turkmenistan,2.6714285714285704
50,Ukraine,4.621951219512196
51,United Kingdom,2.7305084745762698
52,Uzbekistan,2.957142857142857
53,WHO European Region,3.998
54,Members of the European Union,3.734
55,Members of the EU before May 2004 (EU15),3.4059999999999997
56,Members of the EU after May 2004 (EU13),4.9719999999999995
57,Commonwealth of Independent States,6.300000000000001
58,Central Asian Republics Information Network members (CARINFONET),3.9892857142857148
59,South-eastern Europe Health Network members (SEEHN),4.506666666666666
60,Nordic countries,2.952000000000001
61,Small countries,3.865999999999999
