,Unnamed: 0.1,Wine mean
0,Albania,0.5965517241379309
1,Andorra,4.85
2,Armenia,0.5633333333333334
3,Austria,4.405
4,Azerbaijan,0.5199999999999999
5,Belarus,0.7812499999999999
6,Belgium,3.0929824561403523
7,Bosnia and Herzegovina,0.6466666666666667
8,Bulgaria,2.8438596491228068
9,Croatia,5.424242424242424
10,Cyprus,2.22542372881356
11,Czechia,2.3999999999999995
12,Denmark,2.986440677966101
13,Estonia,1.6266666666666663
14,Finland,1.3949152542372885
15,France,11.330508474576273
16,Georgia,3.1366666666666676
17,Germany,3.3559322033898313
18,Greece,4.691228070175438
19,Hungary,4.5474576271186455
20,Iceland,1.394915254237288
21,Ireland,1.7122807017543855
22,Israel,1.0813559322033903
23,Italy,10.198305084745765
24,Kazakhstan,1.0600000000000003
25,Kyrgyzstan,0.9971428571428579
26,Latvia,2.0999999999999996
27,Lithuania,2.06
28,Luxembourg,7.554237288135595
29,Malta,1.8915254237288133
30,Monaco,30.0
31,Montenegro,4.621428571428572
32,Netherlands,2.6932203389830502
33,North Macedonia,2.3142857142857145
34,Norway,1.6779661016949157
35,Poland,1.7288135593220337
36,Portugal,10.72372881355932
37,Republic of Moldova,4.578571428571428
38,Romania,4.428813559322036
39,Russian Federation,1.9666666666666666
40,San Marino,40.0
41,Serbia,4.165000000000001
42,Slovakia,2.932203389830509
43,Slovenia,7.348717948717949
44,Spain,6.962068965517242
45,Sweden,2.6050847457627118
46,Switzerland,6.770370370370371
47,Tajikistan,1.839285714285715
48,Turkey,0.9372881355932221
49,Turkmenistan,2.8214285714285707
50,Ukraine,2.0097560975609756
51,United Kingdom,2.693220338983054
52,Uzbekistan,2.1214285714285723
53,WHO European Region,4.171999999999999
54,Members of the European Union,5.729999999999999
55,Members of the EU before May 2004 (EU15),6.3660000000000005
56,Members of the EU after May 2004 (EU13),3.6519999999999984
57,Commonwealth of Independent States,2.616666666666666
58,Central Asian Republics Information Network members (CARINFONET),2.364285714285715
59,South-eastern Europe Health Network members (SEEHN),4.153333333333333
60,Nordic countries,3.1759999999999997
61,Small countries,4.202
